date,product,region,units_sold,unit_price,total_sales
2024-01-03,Laptop,North,12,850,10200
2024-01-05,Phone,South,30,400,12000
2024-01-07,Tablet,East,18,300,5400
2024-01-09,Headphones,West,45,120,5400
2024-01-11,Monitor,North,8,500,4000
2024-01-14,Laptop,East,10,850,8500
2024-01-16,Phone,North,25,400,10000
2024-01-18,Tablet,South,20,300,6000
2024-01-20,Headphones,East,60,120,7200
2024-01-22,Monitor,West,6,500,3000
2024-01-25,Laptop,South,14,850,11900
2024-01-28,Phone,West,35,400,14000
2024-02-01,Laptop,North,11,850,9350
2024-02-04,Phone,East,28,400,11200
2024-02-06,Tablet,West,22,300,6600
2024-02-08,Headphones,North,50,120,6000
2024-02-11,Monitor,South,9,500,4500
2024-02-13,Laptop,West,13,850,11050
2024-02-15,Phone,South,32,400,12800
2024-02-18,Tablet,North,16,300,4800
2024-02-20,Headphones,South,55,120,6600
2024-02-22,Monitor,East,7,500,3500
2024-02-25,Laptop,East,15,850,12750
2024-02-27,Phone,North,27,400,10800
2024-03-01,Tablet,South,24,300,7200
2024-03-04,Headphones,West,65,120,7800
2024-03-06,Monitor,North,10,500,5000
2024-03-08,Laptop,South,16,850,13600
2024-03-11,Phone,West,38,400,15200
2024-03-13,Tablet,East,19,300,5700
2024-03-15,Headphones,North,70,120,8400
2024-03-18,Monitor,South,8,500,4000
2024-03-20,Laptop,West,12,850,10200
2024-03-22,Phone,East,30,400,12000
2024-03-25,Tablet,West,21,300,6300
2024-03-27,Headphones,South,62,120,7440
2024-04-01,Laptop,North,18,850,15300
2024-04-03,Phone,South,40,400,16000
2024-04-05,Tablet,East,25,300,7500
2024-04-07,Headphones,West,75,120,9000
2024-04-09,Monitor,North,11,500,5500
2024-04-11,Laptop,East,14,850,11900
2024-04-14,Phone,North,33,400,13200
2024-04-16,Tablet,South,22,300,6600
2024-04-18,Headphones,East,68,120,8160
2024-04-20,Monitor,West,9,500,4500
2024-04-22,Laptop,South,20,850,17000
2024-04-25,Phone,West,42,400,16800
2024-05-01,Laptop,North,19,850,16150
2024-05-03,Phone,East,36,400,14400
2024-05-05,Tablet,West,28,300,8400
2024-05-07,Headphones,North,80,120,9600
2024-05-09,Monitor,South,12,500,6000
2024-05-11,Laptop,West,17,850,14450
2024-05-14,Phone,South,38,400,15200
2024-05-16,Tablet,North,20,300,6000
2024-05-18,Headphones,South,72,120,8640
2024-05-20,Monitor,East,10,500,5000
2024-05-22,Laptop,East,22,850,18700
2024-05-25,Phone,North,45,400,18000
2024-06-01,Tablet,South,30,300,9000
2024-06-03,Headphones,West,85,120,10200
2024-06-05,Monitor,North,13,500,6500
